	SRR7359508.tabular	SRR7359507.tabular	SRR7359506.tabular	SRR7359505.tabular	SRR7359512.tabular	SRR7359511.tabular	SRR7359510.tabular	SRR7359509.tabular
1500015L24Rik	21.0465544114459	14.2832314745101	20.1134056771845	17.1358388652875	24.5466610818885	18.9096302830589	10.1887783056638	22.2483182865545
1500026H17Rik	0	4.39484045369541	0.957781222723073	18.0878299133591	10.2277754507869	2.83644454245884	3.39625943522126	7.07901036390371
1500032F14Rik	13.2925606809132	7.69097079396697	13.408937118123	0.95199104807153	7.15944281555082	7.56385211322357	4.24532429402657	5.05643597421694
1500035N22Rik	0	0	0	0	0	0	0	0
1520401A03Rik	2.2154267801522	0	0	0	7.15944281555082	2.83644454245884	0	0
1600002D24Rik	28.8005481419786	21.9742022684771	23.9445305680768	34.2716777305751	58.2983200694852	25.5280008821296	6.79251887044251	10.1128719484339
1600010M07Rik	733.306264230377	507.60407240182	650.333450228966	591.18644085242	547.185986617098	468.013349505708	613.024828057437	522.835479734031
1600012H06Rik	130.71018002898	141.733604631677	117.807090394938	97.1030869032961	136.029413495465	71.8565950756239	45.849502375487	105.173868263712
1600012P17Rik	0	0	0	0	0	0	0	0
1600014C10Rik	72.0013703549464	51.6393753309211	33.5223427953075	40.9356150670758	38.8655467129901	44.4376311651885	37.3588537874338	48.5417853524826
1600014C23Rik	0	0	0	0	0	3.78192605661178	1.69812971761063	0
1600017P15Rik	0	0	0	0.95199104807153	0	2.83644454245884	0	3.03386158453016
1600019K03Rik	0	0	0	0	1.02277754507869	0	0	0
1600020E01Rik	568.256969109038	841.611946882671	614.895544988213	818.712301341516	666.850959391305	761.112618893122	753.969594619119	868.69570037047
1600022D10Rik	7.75399373053269	23.0729123819009	3.83112489089229	10.4719015287868	31.7061038974393	2.83644454245884	1.69812971761063	1.01128719484339
1600023N17Rik	12.1848472908371	5.49355056711926	2.87334366816922	6.66393733650071	1.02277754507869	1.89096302830589	4.24532429402657	2.02257438968677
1600025M17Rik	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0.95199104807153	0	0	2.54719457641594	0
1600029O15Rik	1.1077133900761	0	0	8.56791943264377	0	0	0	0
1700001C19Rik	72.0013703549464	87.8968090739082	52.677967249769	75.2072927976509	111.482752413577	77.5294841605416	84.9064858805314	96.0722835101218
1700001D01Rik	0	0	0	0	0	0	0	0
1700001F09Rik	0	0	0.957781222723073	0	0	0	0	0
1700001G01Rik	8.86170712060878	6.59226068054312	0	33.3196866825036	26.5922161720459	2.83644454245884	0	16.1805951174942
1700001G11Rik	3.32314017022829	0	1.91556244544615	7.61592838457224	2.04555509015738	3.78192605661178	5.09438915283189	4.04514877937355
1700001G17Rik	7.75399373053269	6.59226068054312	17.2400620090153	1.90398209614306	8.1822203606295	2.83644454245884	16.132232317301	7.07901036390371
1700001J03Rik	0	0	4.78890611361536	0	0	0	0	0
1700001J04Rik	0	0	0	0	0	0	0	0
1700001J11Rik	0	0	0	0	0	0	0	0
1700001K19Rik	75.3245105251747	43.9484045369541	48.8468423588767	52.3595076439342	73.6399832456655	62.4017799340944	67.9251887044251	31.349903040145
1700001K23Rik	46.5239623831961	35.1587236295633	15.3244995635692	16.183847817216	25.5694386269672	27.4189639104354	75.566772433673	24.2708926762413
1700001L05Rik	276.928347519025	313.132382325798	294.996616598706	262.749529267742	256.717163814751	214.624303712719	96.7933939038058	295.295860894269
1700001L19Rik	2.2154267801522	3.29613034027156	0	7.61592838457224	7.15944281555082	0	0.849064858805314	1.01128719484339
1700001N15Rik	0	0	0	0	0	0	0	0
1700001O22Rik	23.2619811915981	21.9742022684771	18.1978432317384	19.9918120095021	13.2961080860229	43.4921496510355	12.7359728820797	18.203169507181
1700001P01Rik	14.4002740709893	23.0729123819009	27.7756554589691	21.8957941056452	43.9794344383836	27.4189639104354	18.6794268937169	8.0902975587471
1700003C15Rik	5.53856695038049	4.39484045369541	0	5.71194628842918	4.09111018031475	2.83644454245884	1.69812971761063	2.02257438968677
1700003D09Rik	0	0	0.957781222723073	0	0	0	0.849064858805314	0
1700003E16Rik	9.96942051068488	0	5.74668733633844	10.4719015287868	10.2277754507869	10.4002966556824	0	0
1700003E24Rik	0	0	0	0	0	0	0	0
1700003F12Rik	0	0	0	0	0	0	0	0
1700003G18Rik	0	0	0	0	0	0	0	0
1700003H04Rik	8.86170712060878	5.49355056711926	11.4933746726769	0.95199104807153	9.20499790570819	0	0.849064858805314	1.01128719484339
1700003I16Rik	11.077133900761	0	7.66224978178458	0	6.13666527047213	12.2912596839883	2.54719457641594	4.04514877937355
1700003I22Rik	0	0	0	0	0	1.89096302830589	0	0
1700003L19Rik	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0
1700003N22Rik	0	0	0	0.95199104807153	0	0	0	0
1700003O11Rik	0	0	0	0	0	0	0	0
1700003P14Rik	3.32314017022829	2.19742022684771	7.66224978178458	3.80796419228612	7.15944281555082	1.89096302830589	0.849064858805314	2.02257438968677
1700006A11Rik	2.2154267801522	1.09871011342385	3.83112489089229	6.66393733650071	3.06833263523606	0	21.2266214701329	2.02257438968677
1700006F04Rik	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	1.02277754507869	0.945481514152946	0	2.02257438968677
1700006J14Rik	0	0	0	0	0	0	0	0
1700006P03Rik	0	0	0	0	0	0	0	1.01128719484339
1700007E05Rik	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0
1700007H22Rik	0	0	0	0	0	0	0.849064858805314	0
1700007J10Rik	0	0	0	0	0	0	0	0
1700007K13Rik	0	0	0	0	2.04555509015738	0	0	1.01128719484339
1700007L15Rik	19.9388410213698	18.6780719282055	32.5645615725845	22.8477851537167	15.3416631761803	21.7460748255178	18.6794268937169	4.04514877937355
1700007M16Rik	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0
1700008B11Rik	0	0	0	0	0	0	0	0
1700008C04Rik	0	10.9871011342385	0.957781222723073	2.85597314421459	9.20499790570819	8.50933362737652	23.7738160465488	0
1700008H02Rik	0	0	0	0	0	0	0	0
1700008J07Rik	173.911002241947	146.128445085372	138.878277294846	117.094898912798	146.257188946252	117.239707754965	78.1139670100889	107.196442653399
1700008K24Rik	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0
1700008O03Rik	65.3550900144898	67.021316918855	70.8758104815074	64.7353912688641	100.232199417711	50.1105202501061	76.4158372924783	88.9932731462181
1700008P02Rik	0	0	0	0	1.02277754507869	0	0	0
1700009C05Rik	0	1.09871011342385	0	0	2.04555509015738	0	0	0
1700009J07Rik	3.32314017022829	0	0	0	0	1.89096302830589	6.79251887044251	1.01128719484339
1700009N14Rik	0	0	0	0	0	0	0	0
1700010B08Rik	1.1077133900761	0	0	1.90398209614306	0	0	0	0
1700010B13Rik	4.43085356030439	1.09871011342385	0	0	1.02277754507869	0.945481514152946	0	1.01128719484339
1700010D01Rik	0	0	0	0	0	0	0	0
1700010G06Rik	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0
1700010I02Rik	8.86170712060878	5.49355056711926	7.66224978178458	3.80796419228612	6.13666527047213	0	1.69812971761063	3.03386158453016
1700010I14Rik	93.0479247663922	68.1200270322789	84.2847475996304	53.3114986920057	107.391642233262	77.5294841605416	79.8120967276995	147.647930447135
1700010J16Rik	4.43085356030439	1.09871011342385	3.83112489089229	5.71194628842918	17.3872182663377	0.945481514152946	8.49064858805314	9.10158475359049
1700010K23Rik	0	0	0	0	0	0	0	0
1700010K24Rik	46.5239623831961	45.047114650378	43.1001550225383	61.8794181246495	84.8905362415311	51.0560017642591	61.9817346927879	59.6659444957599
1700010L04Rik	6.64628034045659	0	0	4.75995524035765	1.02277754507869	0	0	0
1700010N08Rik	1.1077133900761	2.19742022684771	0.957781222723073	0	5.11388772539344	3.78192605661178	1.69812971761063	5.05643597421694
1700011B04Rik	2.2154267801522	0	0	0	0	0.945481514152946	0	0
1700011C11Rik	0	1.09871011342385	0	9.5199104807153	6.13666527047213	7.56385211322357	0.849064858805314	3.03386158453016
1700011D18Rik	0	0	0	0	0	0	0	1.01128719484339
1700011L03Rik	1.1077133900761	2.19742022684771	0	2.85597314421459	0	0.945481514152946	0.849064858805314	1.01128719484339
1700011L22Rik	36.5545418725112	15.3819415879339	15.3244995635692	17.1358388652875	14.3188856311016	15.1277042264471	11.0378431644691	15.1693079226508
1700011M02Rik	0	0	0	0	0	0	0	0
1700012A03Rik	1.1077133900761	0	0	2.85597314421459	0	0	0	5.05643597421694
1700012B07Rik	4.43085356030439	2.19742022684771	2.87334366816922	7.61592838457224	16.364440721259	3.78192605661178	1.69812971761063	0
1700012B09Rik	2.2154267801522	0	21.0711868999076	17.1358388652875	0	0	1.69812971761063	14.1580207278074
1700012C08Rik	0	0	0	0	0	0	0	0
1700012C14Rik	2.2154267801522	0	0.957781222723073	0	1.02277754507869	0	0.849064858805314	0
1700012D14Rik	328.990876852601	342.797555388242	375.450239307444	363.660580363325	420.361571027341	439.64890408112	600.288855175357	450.022801705307
1700012D16Rik	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	1.02277754507869	0	0	0
1700012I11Rik	47.6316757732722	32.9613034027156	8.62003100450765	56.1674718362203	29.660548807282	27.4189639104354	22.9247511877435	22.2483182865545
1700012J15Rik	3.32314017022829	0	0	1.90398209614306	2.04555509015738	0	0	1.01128719484339
1700012J22Rik	0	0	0	0	0	0	0	0
1700012P22Rik	1.1077133900761	0	4.78890611361536	9.5199104807153	6.13666527047213	4.72740757076473	2.54719457641594	5.05643597421694
1700013A02Rik	0	0	0	0	0	0	0	0
1700013D24Rik	0	1.09871011342385	0	5.71194628842918	1.02277754507869	0	0	5.05643597421694
1700013F07Rik	1.1077133900761	9.88839102081467	4.78890611361536	6.66393733650071	8.1822203606295	0.945481514152946	0	0
1700013G24Rik	0	0	0	0	1.02277754507869	0	0	0
1700013H16Rik	11.077133900761	4.39484045369541	2.87334366816922	6.66393733650071	0	4.72740757076473	0	0
1700013M08Rik	0	0	0.957781222723073	0	0	0	0	0
1700013N06Rik	5.53856695038049	2.19742022684771	0	0	7.15944281555082	4.72740757076473	6.79251887044251	3.03386158453016
1700014D04Rik	0	0	0	0	0	0	0	0
1700014F14Rik	2.2154267801522	1.09871011342385	0.957781222723073	0.95199104807153	2.04555509015738	0	2.54719457641594	1.01128719484339
1700014L14Rik	6.64628034045659	1.09871011342385	1.91556244544615	4.75995524035765	3.06833263523606	0.945481514152946	1.69812971761063	0
1700015C15Rik	0	0	0	0	1.02277754507869	0	0	0
1700015C17Rik	0	0	0	0	0	0	0	0
1700015F17Rik	6.64628034045659	1.09871011342385	0	1.90398209614306	5.11388772539344	10.4002966556824	0	4.04514877937355
1700015G11Rik	0	2.19742022684771	0	0.95199104807153	2.04555509015738	0.945481514152946	0	0
1700015H07Rik	0	0	0	0	0	0	0	0
1700015I17Rik	7.75399373053269	3.29613034027156	0	0	1.02277754507869	0	0	0
1700015O11Rik	6.64628034045659	2.19742022684771	0	0	7.15944281555082	3.78192605661178	7.64158372924783	1.01128719484339
1700016A09Rik	0	0	0	0	0	0	0	0
1700016B01Rik	0	0	0	14.279865721073	3.06833263523606	0	0.849064858805314	0
1700016B15Rik	0	0	0	0	0	0	0	0
1700016C15Rik	14.4002740709893	25.2703326087486	27.7756554589691	63.7834002207925	11.2505529958656	39.7102235944237	22.0756863289382	14.1580207278074
1700016D06Rik	29.9082615320546	41.7509843101064	66.086904367892	34.2716777305751	74.6627607907442	48.2195572218003	48.3966969519029	76.8578268080974
1700016D08Rik	0	0	0	0	0	0	0	0
1700016F12Rik	6.64628034045659	0	0	3.80796419228612	3.06833263523606	0	0	2.02257438968677
1700016G22Rik	0	1.09871011342385	0	0.95199104807153	0	0	0.849064858805314	0
1700016H03Rik	0	4.39484045369541	0	0	0	0	0	0
1700016H13Rik	0	0	1.91556244544615	0	0	10.4002966556824	2.54719457641594	0
1700016J18Rik	0	0	0	3.80796419228612	0	1.89096302830589	0.849064858805314	0
1700016K05Rik	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	8.62003100450765	9.5199104807153	1.02277754507869	1.89096302830589	0	0
1700016L21Rik	5.53856695038049	6.59226068054312	0.957781222723073	0	5.11388772539344	1.89096302830589	0.849064858805314	0
1700016P03Rik	12.1848472908371	27.4677528355963	9.57781222723073	10.4719015287868	17.3872182663377	16.0731857406001	20.3775566113275	23.2596054813979
1700016P04Rik	3.32314017022829	0	0	0	0	0	0	0
1700017B05Rik	1095.52854278526	1488.75220368932	1121.56181180872	1039.57422449411	1202.78639301254	1099.59500095988	1310.1070771366	1058.81769300103
1700017G19Rik	0	0	0	2.85597314421459	0	1.89096302830589	0	0
1700017I07Rik	0	0	0	0	2.04555509015738	0	0	0
1700017J07Rik	1.1077133900761	3.29613034027156	0	0	3.06833263523606	1.89096302830589	0	0
1700017L05Rik	0	0	0	0	0	0	0	0
1700017M07Rik	0	8.78968090739082	0	1.90398209614306	9.20499790570819	0.945481514152946	0	0
1700017N19Rik	1.1077133900761	0	2.87334366816922	2.85597314421459	1.02277754507869	6.61837059907062	2.54719457641594	1.01128719484339
1700018A04Rik	2.2154267801522	2.19742022684771	29.6912179044153	13.3278746730014	15.3416631761803	6.61837059907062	2.54719457641594	6.06772316906032
1700018A14Rik	0	0	0	0	0	0	0	0
1700018A23Rik	0	0	0	0	0	0	0	0
1700018B08Rik	0	0	0	0	0	0	0	0
1700018B24Rik	0	3.29613034027156	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0
1700018G05Rik	0	2.19742022684771	0	0	1.02277754507869	0	0	0
1700018L02Rik	1.1077133900761	2.19742022684771	2.87334366816922	2.85597314421459	5.11388772539344	7.56385211322357	3.39625943522126	8.0902975587471
1700018M17Rik	0	0	0	1.90398209614306	0	0	0	0
1700018P08Rik	0	0	0	0	0	0	0	1.01128719484339
1700019A02Rik	23.2619811915981	36.2574337429871	29.6912179044153	60.9274270765779	75.6855383358229	90.7662253586828	167.265777184647	109.219017043086
1700019A23Rik	0	0	0	0	0	0	0	0
1700019C18Rik	3.32314017022829	0	0.957781222723073	0.95199104807153	1.02277754507869	6.61837059907062	7.64158372924783	2.02257438968677
1700019D03Rik	26.5851213618264	29.665173062444	50.7624048043228	65.6873823169356	46.024989528541	49.1650387359532	28.8682051993807	56.6320829112297
1700019E08Rik	0	0	9.57781222723073	0	0	1.89096302830589	0	0
1700019F05Rik	0	0	0	0	4.09111018031475	10.4002966556824	2.54719457641594	0
1700019G24Rik	0	0	0	0	0	0	0	0
1700019J19Rik	5.53856695038049	5.49355056711926	13.408937118123	12.3758836249299	6.13666527047213	0.945481514152946	0	1.01128719484339
1700019L13Rik	0	0	0	0	0	0	0	0
1700019M22Rik	0	0	0	0	0	0	0	0
1700019N19Rik	4.43085356030439	1.09871011342385	0	0.95199104807153	2.04555509015738	0.945481514152946	0	0
1700019P21Rik	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0
1700020D05Rik	0	0	0	0	0	0	0	0
1700020D12Rik	7.75399373053269	1.09871011342385	1.91556244544615	10.4719015287868	7.15944281555082	0	0	5.05643597421694
1700020G03Rik	0	0	0	0	0	6.61837059907062	0	0
1700020G17Rik	26.5851213618264	12.0858112476624	4.78890611361536	40.9356150670758	50.1160997088557	23.6370378538237	23.7738160465488	24.2708926762413
1700020L24Rik	15.5079874610654	6.59226068054312	10.5355934499538	0	14.3188856311016	3.78192605661178	2.54719457641594	7.07901036390371
1700020M21Rik	1.1077133900761	0	0	0	1.02277754507869	2.83644454245884	0	0
1700020N01Rik	4.43085356030439	2.19742022684771	0	5.71194628842918	4.09111018031475	4.72740757076473	0	14.1580207278074
1700020N15Rik	0	0	0	0	0	0	0	0
1700020N18Rik	4.43085356030439	0	0	0	0	0	0	1.01128719484339
1700021A07Rik	0	1.09871011342385	0.957781222723073	2.85597314421459	2.04555509015738	1.89096302830589	0	1.01128719484339
1700021F02Rik	1.1077133900761	0	0	2.85597314421459	0	0.945481514152946	0	0
1700021F07Rik	0	0	0	0	1.02277754507869	0	0	0
1700021F13Rik	0	0	0	0	1.02277754507869	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0
1700021J08Rik	0	0	0	0	0	0	0	0
1700021L23Rik	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	3.83112489089229	0	2.04555509015738	0	0	0
1700021P04Rik	0	0	0	0	1.02277754507869	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0
1700022A22Rik	5.53856695038049	3.29613034027156	0	2.85597314421459	3.06833263523606	1.89096302830589	0	3.03386158453016
1700022E09Rik	1.1077133900761	1.09871011342385	0.957781222723073	0	3.06833263523606	0.945481514152946	0	0
1700022H01Rik	13.2925606809132	0	10.5355934499538	16.183847817216	20.4555509015738	14.1822227122942	21.2266214701329	12.1354463381206
1700022H16Rik	5.53856695038049	0	0	0	3.06833263523606	0	0	0
1700022I11Rik	98.5864917167727	26.3690427221725	31.6067803498614	73.3033107015078	57.2755425244065	54.8379278208709	65.3779941280092	48.5417853524826
1700022N22Rik	21.0465544114459	47.2445348772257	20.1134056771845	49.5035344997196	23.5238835368098	28.3644454245884	25.4719457641594	29.3273286504582
1700023B13Rik	0	0	0	0	0	0	0	0
1700023C21Rik	0	0	0	0.95199104807153	2.04555509015738	1.89096302830589	0	0
1700023F02Rik	8.86170712060878	3.29613034027156	2.87334366816922	7.61592838457224	20.4555509015738	1.89096302830589	0	2.02257438968677
1700023G09Rik	0	7.69097079396697	0	0	14.3188856311016	1.89096302830589	1.69812971761063	0
1700023H06Rik	0	0	0	0	0	0	0	0
1700024B05Rik	3.32314017022829	2.19742022684771	1.91556244544615	0	2.04555509015738	2.83644454245884	0	0
1700024B18Rik	0	0	0	0	0	0	0	0
1700024G13Rik	2.2154267801522	0	0.957781222723073	0	4.09111018031475	0	0.849064858805314	0
1700024I08Rik	6.64628034045659	2.19742022684771	0.957781222723073	34.2716777305751	14.3188856311016	9.45481514152946	0.849064858805314	10.1128719484339
1700024J04Rik	0	0	0	1.90398209614306	0	0	0	0
1700025A08Rik	0	0	0	0	0	0.945481514152946	0	0
1700025B11Rik	0	0	1.91556244544615	0	1.02277754507869	0	0	0
1700025C18Rik	1.1077133900761	5.49355056711926	0	0	2.04555509015738	0	0	5.05643597421694
1700025D23Rik	0	1.09871011342385	0	0.95199104807153	0	0.945481514152946	0.849064858805314	2.02257438968677
1700025F24Rik	1.1077133900761	5.49355056711926	0	0.95199104807153	5.11388772539344	6.61837059907062	0.849064858805314	0
1700025G04Rik	3802.78006813124	4670.6166921648	4287.9865341312	5479.66047269973	5642.66371619912	6536.11370733932	5884.86853637963	4412.2460311017
1700025H01Rik	0	0	0	2.85597314421459	3.06833263523606	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0.957781222723073	0	0	0	0	0
1700025K24Rik	1.1077133900761	1.09871011342385	2.87334366816922	0	0	0	0	0
1700025L06Rik	0	0	0	1.90398209614306	0	0	0	0
1700025M24Rik	4.43085356030439	6.59226068054312	24.9023117907999	1.90398209614306	1.02277754507869	6.61837059907062	0	0
1700025N21Rik	0	0	0	0	0	0	0	0
1700025N23Rik	0	0	0	0	0	0	0	0
1700025O08Rik	0	0	1.91556244544615	0	1.02277754507869	0.945481514152946	0.849064858805314	0
1700026D11Rik	5.53856695038049	2.19742022684771	0.957781222723073	26.6557493460028	9.20499790570819	12.2912596839883	3.39625943522126	3.03386158453016
1700026F02Rik	6.64628034045659	0	0	10.4719015287868	14.3188856311016	15.1277042264471	0	2.02257438968677
